AvgSpotLen	BioSample	Experiment	Instrument	LoadDate	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	biomaterial_provider	cell_line	cell_type	source_name	treated_with	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	Platform	ReleaseDate	SRA_Study
152	SAMN03317534	SRX859074	NextSeq 500	2015-01-31	76	38	Homo sapiens	SRR1779626	SRS830652	GSM1596294		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317575	SRX859075	NextSeq 500	2015-01-31	64	32	Homo sapiens	SRR1779627	SRS830653	GSM1596295		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317697	SRX859076	NextSeq 500	2015-01-31	60	30	Homo sapiens	SRR1779628	SRS830654	GSM1596296		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317495	SRX859077	NextSeq 500	2015-01-31	80	40	Homo sapiens	SRR1779629	SRS830655	GSM1596297		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317560	SRX859078	NextSeq 500	2015-01-31	42	21	Homo sapiens	SRR1779630	SRS830656	GSM1596298		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317590	SRX859079	NextSeq 500	2015-01-31	59	30	Homo sapiens	SRR1779631	SRS830657	GSM1596299		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317707	SRX859080	NextSeq 500	2015-01-31	27	14	Homo sapiens	SRR1779632	SRS830658	GSM1596300		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317598	SRX859081	NextSeq 500	2015-01-31	64	32	Homo sapiens	SRR1779633	SRS830659	GSM1596301		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317460	SRX859082	NextSeq 500	2015-01-31	69	35	Homo sapiens	SRR1779634	SRS830660	GSM1596302		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317648	SRX859083	NextSeq 500	2015-01-31	111	57	Homo sapiens	SRR1779635	SRS830661	GSM1596303		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317471	SRX859084	NextSeq 500	2015-01-31	34	17	Homo sapiens	SRR1779636	SRS830662	GSM1596304		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317605	SRX859085	NextSeq 500	2015-01-31	59	30	Homo sapiens	SRR1779637	SRS830663	GSM1596305		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317515	SRX859086	NextSeq 500	2015-01-31	71	36	Homo sapiens	SRR1779638	SRS830664	GSM1596306		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317694	SRX859087	NextSeq 500	2015-01-31	61	32	Homo sapiens	SRR1779639	SRS830665	GSM1596307		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317642	SRX859088	NextSeq 500	2015-01-31	27	14	Homo sapiens	SRR1779640	SRS830666	GSM1596308		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317571	SRX859089	NextSeq 500	2015-01-31	15	7	Homo sapiens	SRR1779641	SRS830667	GSM1596309		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317541	SRX859090	NextSeq 500	2015-01-31	65	33	Homo sapiens	SRR1779642	SRS830668	GSM1596310		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317556	SRX859091	NextSeq 500	2015-01-31	33	17	Homo sapiens	SRR1779643	SRS830669	GSM1596311		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317822	SRX859092	NextSeq 500	2015-01-31	34	17	Homo sapiens	SRR1779644	SRS830670	GSM1596312		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317787	SRX859093	NextSeq 500	2015-01-31	22	11	Homo sapiens	SRR1779645	SRS830671	GSM1596313		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317981	SRX859094	NextSeq 500	2015-01-31	59	30	Homo sapiens	SRR1779646	SRS830672	GSM1596314		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317478	SRX859095	NextSeq 500	2015-01-31	92	46	Homo sapiens	SRR1779647	SRS830673	GSM1596315		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317517	SRX859096	NextSeq 500	2015-01-31	32	16	Homo sapiens	SRR1779648	SRS830674	GSM1596316		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317626	SRX859097	NextSeq 500	2015-01-31	50	25	Homo sapiens	SRR1779649	SRS830676	GSM1596317		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318656	SRX859098	NextSeq 500	2015-01-31	77	39	Homo sapiens	SRR1779650	SRS830675	GSM1596318		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318102	SRX859099	NextSeq 500	2015-01-31	75	38	Homo sapiens	SRR1779651	SRS830678	GSM1596319		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317898	SRX859100	NextSeq 500	2015-01-31	56	28	Homo sapiens	SRR1779652	SRS830677	GSM1596320		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318329	SRX859101	NextSeq 500	2015-01-31	34	17	Homo sapiens	SRR1779653	SRS830679	GSM1596321		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318248	SRX859102	NextSeq 500	2015-01-31	81	41	Homo sapiens	SRR1779654	SRS830681	GSM1596322		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317768	SRX859103	NextSeq 500	2015-01-31	51	26	Homo sapiens	SRR1779655	SRS830680	GSM1596323		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318077	SRX859104	NextSeq 500	2015-01-31	27	13	Homo sapiens	SRR1779656	SRS830682	GSM1596324		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318373	SRX859105	NextSeq 500	2015-01-31	48	24	Homo sapiens	SRR1779657	SRS830684	GSM1596325		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317828	SRX859106	NextSeq 500	2015-01-31	140	72	Homo sapiens	SRR1779658	SRS830683	GSM1596326		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317730	SRX859107	NextSeq 500	2015-01-31	0	0	Homo sapiens	SRR1779659	SRS830686	GSM1596327		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318487	SRX859108	NextSeq 500	2015-01-31	21	10	Homo sapiens	SRR1779660	SRS830685	GSM1596328		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318572	SRX859109	NextSeq 500	2015-01-31	66	33	Homo sapiens	SRR1779661	SRS830688	GSM1596329		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318524	SRX859110	NextSeq 500	2015-01-31	48	24	Homo sapiens	SRR1779662	SRS830687	GSM1596330		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318019	SRX859111	NextSeq 500	2015-01-31	98	50	Homo sapiens	SRR1779663	SRS830689	GSM1596331		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318520	SRX859112	NextSeq 500	2015-01-31	64	32	Homo sapiens	SRR1779664	SRS830691	GSM1596332		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318402	SRX859113	NextSeq 500	2015-01-31	73	37	Homo sapiens	SRR1779665	SRS830690	GSM1596333		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318499	SRX859114	NextSeq 500	2015-01-31	46	23	Homo sapiens	SRR1779666	SRS830692	GSM1596334		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318055	SRX859115	NextSeq 500	2015-01-31	46	23	Homo sapiens	SRR1779667	SRS830693	GSM1596335		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318023	SRX859116	NextSeq 500	2015-01-31	45	22	Homo sapiens	SRR1779668	SRS830694	GSM1596336		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317739	SRX859117	NextSeq 500	2015-01-31	39	20	Homo sapiens	SRR1779669	SRS830695	GSM1596337		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318398	SRX859118	NextSeq 500	2015-01-31	88	44	Homo sapiens	SRR1779670	SRS830697	GSM1596338		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317741	SRX859119	NextSeq 500	2015-01-31	32	16	Homo sapiens	SRR1779671	SRS830696	GSM1596339		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318586	SRX859120	NextSeq 500	2015-01-31	21	10	Homo sapiens	SRR1779672	SRS830698	GSM1596340		H1	human embryonic stem cell line	singles-H1ESC	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
